"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"66","EU935740","Chlamydia_trachomatis_",86,83,"81",930,"13232",0.082
"67","EU935738","Chlamydia_trachomatis_",55,64,"67",930,"13232",0.065
"68","NZ_HG941719.1","Chlamydia_trachomatis_",44,40,"39",930,"13232",0.041
"69","EU935739","Campylobacter_ureolyticus_",84,53,"55",1697,"20108",0.03
"70","EU935740","Campylobacter_ureolyticus_",86,24,"23",1697,"20108",0.013
"71","EU935738","Campylobacter_ureolyticus_",55,53,"55",1697,"20108",0.03
"72","NZ_HG941719.1","Campylobacter_ureolyticus_",44,24,"23",1697,"20108",0.014
"73","EU935739","Desulfovibrio_vulgaris_str._Hildenborough_",84,83,"82",3388,"57795",0.024
"74","EU935740","Desulfovibrio_vulgaris_str._Hildenborough_",86,83,"82",3388,"57795",0.024
"75","EU935738","Desulfovibrio_vulgaris_str._Hildenborough_",55,83,"82",3388,"57795",0.024
"76","NZ_HG941719.1","Desulfovibrio_vulgaris_str._Hildenborough_",44,83,"82",3388,"57795",0.024
"77","EU935739","Desulfovibrio_vulgaris_str._'Miyazaki_F'_",84,0,"0",3182,"51083",0
"78","EU935740","Desulfovibrio_vulgaris_str._'Miyazaki_F'_",86,0,"0",3182,"51083",0
"79","EU935738","Desulfovibrio_vulgaris_str._'Miyazaki_F'_",55,0,"0",3182,"51083",0
"80","NZ_HG941719.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_",44,0,"0",3182,"51083",0
"81","EU935739","Flavobacterium_hydatis_",84,0,"0",4666,"71026",0
"82","EU935740","Flavobacterium_hydatis_",86,0,"0",4666,"71026",0
"83","EU935738","Flavobacterium_hydatis_",55,0,"0",4666,"71026",0
"84","NZ_HG941719.1","Flavobacterium_hydatis_",44,0,"0",4666,"71026",0
"85","EU935739","Erythrobacter_longus_",84,0,"0",3219,"44004",0
"86","EU935740","Erythrobacter_longus_",86,0,"0",3219,"44004",0
"87","EU935738","Erythrobacter_longus_",55,0,"0",3219,"44004",0
"88","NZ_HG941719.1","Erythrobacter_longus_",44,0,"0",3219,"44004",0
"89","EU935739","Synechococcus_elongatus_PCC_7942_",84,17,"16",2661,"51188",0.006
"90","EU935740","Synechococcus_elongatus_PCC_7942_",86,0,"0",2661,"51188",0
"91","EU935738","Synechococcus_elongatus_PCC_7942_",55,17,"16",2661,"51188",0.006
"92","NZ_HG941719.1","Synechococcus_elongatus_PCC_7942_",44,0,"0",2661,"51188",0
"93","EU935739","Synechocystis_sp._PCC_6714_",84,44,"41",3568,"43596",0.012
"94","EU935740","Synechocystis_sp._PCC_6714_",86,150,"154",3568,"43596",0.041
"95","EU935738","Synechocystis_sp._PCC_6714_",55,47,"44",3568,"43596",0.013
"96","NZ_HG941719.1","Synechocystis_sp._PCC_6714_",44,46,"42",3568,"43596",0.013
"97","EU935739","Leuconostoc_lactis_",84,0,"0",1607,"23444",0
"98","EU935740","Leuconostoc_lactis_",86,0,"0",1607,"23444",0
"99","EU935738","Leuconostoc_lactis_",55,0,"0",1607,"23444",0
"100","NZ_HG941719.1","Leuconostoc_lactis_",44,0,"0",1607,"23444",0
"101","EU935739","Dermacoccus_nishinomiyaensis_",84,0,"0",2296,"27481",0
"102","EU935740","Dermacoccus_nishinomiyaensis_",86,0,"0",2296,"27481",0
"103","EU935738","Dermacoccus_nishinomiyaensis_",55,0,"0",2296,"27481",0
"104","NZ_HG941719.1","Dermacoccus_nishinomiyaensis_",44,0,"0",2296,"27481",0
"105","EU935739","Staphylococcus_aureus_",84,112,"109",2992,"39969",0.036
"106","EU935740","Staphylococcus_aureus_",86,110,"108",2992,"39969",0.036
"107","EU935738","Staphylococcus_aureus_",55,110,"108",2992,"39969",0.036
"108","NZ_HG941719.1","Staphylococcus_aureus_",44,70,"69",2992,"39969",0.023
"109","EU935739","Staphylococcus_xylosus_",84,0,"0",2512,"36909",0
"110","EU935740","Staphylococcus_xylosus_",86,0,"0",2512,"36909",0
"111","EU935738","Staphylococcus_xylosus_",55,0,"0",2512,"36909",0
"112","NZ_HG941719.1","Staphylococcus_xylosus_",44,0,"0",2512,"36909",0
"113","EU935739","Streptococcus_pyogenes_",84,62,"60",1846,"28215",0.032
"114","EU935740","Streptococcus_pyogenes_",86,51,"50",1846,"28215",0.026
"115","EU935738","Streptococcus_pyogenes_",55,51,"50",1846,"28215",0.027
"116","NZ_HG941719.1","Streptococcus_pyogenes_",44,62,"60",1846,"28215",0.033
"117","EU935739","Streptococcus_iniae_",84,0,"0",1872,"21996",0
"118","EU935740","Streptococcus_iniae_",86,0,"0",1872,"21996",0
"119","EU935738","Streptococcus_iniae_",55,0,"0",1872,"21996",0
"120","NZ_HG941719.1","Streptococcus_iniae_",44,0,"0",1872,"21996",0
"121","EU935739","Bacillus_cereus_",84,66,"77",5754,"73238",0.011
"122","EU935740","Bacillus_cereus_",86,0,"0",5754,"73238",0
"123","EU935738","Bacillus_cereus_",55,0,"0",5754,"73238",0
"124","NZ_HG941719.1","Bacillus_cereus_",44,0,"0",5754,"73238",0
"125","EU935739","Bacillus_mycoides_",84,20,"19",5190,"53688",0.004
"126","EU935740","Bacillus_mycoides_",86,0,"0",5190,"53688",0
"127","EU935738","Bacillus_mycoides_",55,0,"0",5190,"53688",0
"128","NZ_HG941719.1","Bacillus_mycoides_",44,0,"0",5190,"53688",0
"129","EU935739","Clostridium_sp._ATCC_29733_",84,0,"0",3692,"40909",0
"130","EU935740","Clostridium_sp._ATCC_29733_",86,0,"0",3692,"40909",0
"131","EU935738","Clostridium_sp._ATCC_29733_",55,0,"0",3692,"40909",0
"132","NZ_HG941719.1","Clostridium_sp._ATCC_29733_",44,0,"0",3692,"40909",0
"133","EU935739","[Clostridium]_sticklandii_",84,33,"39",2573,"34714",0.012
"134","EU935740","[Clostridium]_sticklandii_",86,16,"15",2573,"34714",0.006
"135","EU935738","[Clostridium]_sticklandii_",55,31,"30",2573,"34714",0.012
"136","NZ_HG941719.1","[Clostridium]_sticklandii_",44,10,"9",2573,"34714",0.004
"137","EU935739","Lactobacillus_animalis_",84,0,"0",1844,"33085",0
"138","EU935740","Lactobacillus_animalis_",86,0,"0",1844,"33085",0
"139","EU935738","Lactobacillus_animalis_",55,0,"0",1844,"33085",0
"140","NZ_HG941719.1","Lactobacillus_animalis_",44,0,"0",1844,"33085",0
"141","EU935739","Bifidobacterium_adolescentis_",84,50,"48",1726,"22208",0.028
"142","EU935740","Bifidobacterium_adolescentis_",86,0,"0",1726,"22208",0
"143","EU935738","Bifidobacterium_adolescentis_",55,0,"0",1726,"22208",0
"144","NZ_HG941719.1","Bifidobacterium_adolescentis_",44,0,"0",1726,"22208",0
"145","EU935739","Bifidobacterium_coryneforme_",84,0,"0",1364,"16303",0
"146","EU935740","Bifidobacterium_coryneforme_",86,0,"0",1364,"16303",0
"147","EU935738","Bifidobacterium_coryneforme_",55,0,"0",1364,"16303",0
"148","NZ_HG941719.1","Bifidobacterium_coryneforme_",44,0,"0",1364,"16303",0
"149","EU935739","Bifidobacterium_cuniculi_",84,0,"0",2198,"25509",0
"150","EU935740","Bifidobacterium_cuniculi_",86,0,"0",2198,"25509",0
"151","EU935738","Bifidobacterium_cuniculi_",55,0,"0",2198,"25509",0
"152","NZ_HG941719.1","Bifidobacterium_cuniculi_",44,0,"0",2198,"25509",0
"153","EU935739","Bifidobacterium_pseudolongum_subsp._globosum_",84,0,"0",1575,"23767",0
"154","EU935740","Bifidobacterium_pseudolongum_subsp._globosum_",86,0,"0",1575,"23767",0
"155","EU935738","Bifidobacterium_pseudolongum_subsp._globosum_",55,0,"0",1575,"23767",0
"156","NZ_HG941719.1","Bifidobacterium_pseudolongum_subsp._globosum_",44,0,"0",1575,"23767",0
"157","EU935739","Bifidobacterium_magnum_",84,0,"0",1507,"21872",0
"158","EU935740","Bifidobacterium_magnum_",86,0,"0",1507,"21872",0
"159","EU935738","Bifidobacterium_magnum_",55,0,"0",1507,"21872",0
"160","NZ_HG941719.1","Bifidobacterium_magnum_",44,0,"0",1507,"21872",0
"161","EU935739","Bifidobacterium_minimum_",84,0,"0",1591,"23932",0
"162","EU935740","Bifidobacterium_minimum_",86,0,"0",1591,"23932",0
"163","EU935738","Bifidobacterium_minimum_",55,0,"0",1591,"23932",0
"164","NZ_HG941719.1","Bifidobacterium_minimum_",44,0,"0",1591,"23932",0
"165","EU935739","Oerskovia_turbata_",84,0,"0",3508,"53005",0
"166","EU935740","Oerskovia_turbata_",86,0,"0",3508,"53005",0
"167","EU935738","Oerskovia_turbata_",55,0,"0",3508,"53005",0
"168","NZ_HG941719.1","Oerskovia_turbata_",44,0,"0",3508,"53005",0
"169","EU935739","Corynebacterium_pseudotuberculosis_",84,101,"102",2242,"35622",0.043
"170","EU935740","Corynebacterium_pseudotuberculosis_",86,65,"63",2242,"35622",0.028
"171","EU935738","Corynebacterium_pseudotuberculosis_",55,58,"57",2242,"35622",0.025
"172","NZ_HG941719.1","Corynebacterium_pseudotuberculosis_",44,83,"81",2242,"35622",0.036
"173","EU935739","Rhodococcus_fascians_",84,22,"21",5502,"84709",0.004
"174","EU935740","Rhodococcus_fascians_",86,0,"0",5502,"84709",0
"175","EU935738","Rhodococcus_fascians_",55,0,"0",5502,"84709",0
"176","NZ_HG941719.1","Rhodococcus_fascians_",44,0,"0",5502,"84709",0
"177","EU935739","Actinoplanes_utahensis_",84,0,"0",7395,"139361",0
"178","EU935740","Actinoplanes_utahensis_",86,0,"0",7395,"139361",0
"179","EU935738","Actinoplanes_utahensis_",55,0,"0",7395,"139361",0
"180","NZ_HG941719.1","Actinoplanes_utahensis_",44,0,"0",7395,"139361",0
"181","EU935739","Streptomyces_aureofaciens_",84,0,"0",8151,"105861",0
"182","EU935740","Streptomyces_aureofaciens_",86,0,"0",8151,"105861",0
"183","EU935738","Streptomyces_aureofaciens_",55,0,"0",8151,"105861",0
"184","NZ_HG941719.1","Streptomyces_aureofaciens_",44,0,"0",8151,"105861",0
"185","EU935739","Streptomyces_bikiniensis_",84,0,"0",6510,"102620",0
"186","EU935740","Streptomyces_bikiniensis_",86,0,"0",6510,"102620",0
"187","EU935738","Streptomyces_bikiniensis_",55,0,"0",6510,"102620",0
"188","NZ_HG941719.1","Streptomyces_bikiniensis_",44,0,"0",6510,"102620",0
"189","EU935739","Streptomyces_fradiae_",84,0,"0",6179,"110067",0
"190","EU935740","Streptomyces_fradiae_",86,0,"0",6179,"110067",0
"191","EU935738","Streptomyces_fradiae_",55,0,"0",6179,"110067",0
"192","NZ_HG941719.1","Streptomyces_fradiae_",44,0,"0",6179,"110067",0
"193","EU935739","Streptomyces_glaucescens_",84,89,"87",6567,"71975",0.013
"194","EU935740","Streptomyces_glaucescens_",86,0,"0",6567,"71975",0
"195","EU935738","Streptomyces_glaucescens_",55,21,"20",6567,"71975",0.003
"196","NZ_HG941719.1","Streptomyces_glaucescens_",44,0,"0",6567,"71975",0
"197","EU935739","Streptomyces_halstedii_",84,0,"0",6564,"124544",0
"198","EU935740","Streptomyces_halstedii_",86,0,"0",6564,"124544",0
"199","EU935738","Streptomyces_halstedii_",55,0,"0",6564,"124544",0
"200","NZ_HG941719.1","Streptomyces_halstedii_",44,0,"0",6564,"124544",0
"201","EU935739","Streptomyces_sclerotialus_",84,0,"0",6111,"117055",0
"202","EU935740","Streptomyces_sclerotialus_",86,0,"0",6111,"117055",0
"203","EU935738","Streptomyces_sclerotialus_",55,0,"0",6111,"117055",0
