"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"5383","EU935738","Fusobacterium_necrophorum_D12_",55,13,"12",1833,"26544",0.007
"5384","NZ_HG941719.1","Fusobacterium_necrophorum_D12_",44,27,"25",1833,"26544",0.014
"5385","EU935739","Helicobacter_winghamensis_ATCC_BAA-430_",84,0,"0",1639,"29435",0
"5386","EU935740","Helicobacter_winghamensis_ATCC_BAA-430_",86,3,"2",1639,"29435",0.002
"5387","EU935738","Helicobacter_winghamensis_ATCC_BAA-430_",55,0,"0",1639,"29435",0
"5388","NZ_HG941719.1","Helicobacter_winghamensis_ATCC_BAA-430_",44,0,"0",1639,"29435",0
"5389","EU935739","Oxalobacter_formigenes_HOxBLS_",84,0,"0",2260,"41847",0
"5390","EU935740","Oxalobacter_formigenes_HOxBLS_",86,0,"0",2260,"41847",0
"5391","EU935738","Oxalobacter_formigenes_HOxBLS_",55,0,"0",2260,"41847",0
"5392","NZ_HG941719.1","Oxalobacter_formigenes_HOxBLS_",44,0,"0",2260,"41847",0
"5393","EU935739","Oxalobacter_formigenes_OXCC13_",84,0,"0",2081,"27010",0
"5394","EU935740","Oxalobacter_formigenes_OXCC13_",86,9,"8",2081,"27010",0.004
"5395","EU935738","Oxalobacter_formigenes_OXCC13_",55,0,"0",2081,"27010",0
"5396","NZ_HG941719.1","Oxalobacter_formigenes_OXCC13_",44,0,"0",2081,"27010",0
"5397","EU935739","Lactobacillus_reuteri_DSM_20016_",84,0,"0",1922,"26360",0
"5398","EU935740","Lactobacillus_reuteri_DSM_20016_",86,0,"0",1922,"26360",0
"5399","EU935738","Lactobacillus_reuteri_DSM_20016_",55,0,"0",1922,"26360",0
"5400","NZ_HG941719.1","Lactobacillus_reuteri_DSM_20016_",44,0,"0",1922,"26360",0
"5401","EU935739","Laribacter_hongkongensis_HLHK9_",84,0,"0",3263,"44955",0
"5402","EU935740","Laribacter_hongkongensis_HLHK9_",86,0,"0",3263,"44955",0
"5403","EU935738","Laribacter_hongkongensis_HLHK9_",55,0,"0",3263,"44955",0
"5404","NZ_HG941719.1","Laribacter_hongkongensis_HLHK9_",44,0,"0",3263,"44955",0
"5405","EU935739","Mycobacterium_kansasii_ATCC_12478_",84,0,"0",5880,"85916",0
"5406","EU935740","Mycobacterium_kansasii_ATCC_12478_",86,0,"0",5880,"85916",0
"5407","EU935738","Mycobacterium_kansasii_ATCC_12478_",55,0,"0",5880,"85916",0
"5408","NZ_HG941719.1","Mycobacterium_kansasii_ATCC_12478_",44,0,"0",5880,"85916",0
"5409","EU935739","Chryseobacterium_piperi_",84,0,"0",3512,"35603",0
"5410","EU935740","Chryseobacterium_piperi_",86,0,"0",3512,"35603",0
"5411","EU935738","Chryseobacterium_piperi_",55,0,"0",3512,"35603",0
"5412","NZ_HG941719.1","Chryseobacterium_piperi_",44,0,"0",3512,"35603",0
"5413","EU935739","Lentibacillus_jeotgali_",84,0,"0",3691,"54839",0
"5414","EU935740","Lentibacillus_jeotgali_",86,0,"0",3691,"54839",0
"5415","EU935738","Lentibacillus_jeotgali_",55,0,"0",3691,"54839",0
"5416","NZ_HG941719.1","Lentibacillus_jeotgali_",44,0,"0",3691,"54839",0
"5417","EU935739","Corynebacterium_doosanense_CAU_212_=_DSM_45436_",84,0,"0",2502,"26964",0
"5418","EU935740","Corynebacterium_doosanense_CAU_212_=_DSM_45436_",86,0,"0",2502,"26964",0
"5419","EU935738","Corynebacterium_doosanense_CAU_212_=_DSM_45436_",55,0,"0",2502,"26964",0
"5420","NZ_HG941719.1","Corynebacterium_doosanense_CAU_212_=_DSM_45436_",44,0,"0",2502,"26964",0
"5421","EU935739","Aeromonas_sp._AE122_",84,0,"0",3771,"85006",0
"5422","EU935740","Aeromonas_sp._AE122_",86,0,"0",3771,"85006",0
"5423","EU935738","Aeromonas_sp._AE122_",55,0,"0",3771,"85006",0
"5424","NZ_HG941719.1","Aeromonas_sp._AE122_",44,0,"0",3771,"85006",0
"5425","EU935739","Actinomadura_flavalba_DSM_45200_",84,0,"0",5532,"91375",0
"5426","EU935740","Actinomadura_flavalba_DSM_45200_",86,0,"0",5532,"91375",0
"5427","EU935738","Actinomadura_flavalba_DSM_45200_",55,0,"0",5532,"91375",0
"5428","NZ_HG941719.1","Actinomadura_flavalba_DSM_45200_",44,0,"0",5532,"91375",0
"5429","EU935739","Anaerococcus_hydrogenalis_DSM_7454_",84,0,"0",2069,"32094",0
"5430","EU935740","Anaerococcus_hydrogenalis_DSM_7454_",86,0,"0",2069,"32094",0
"5431","EU935738","Anaerococcus_hydrogenalis_DSM_7454_",55,36,"35",2069,"32094",0.017
"5432","NZ_HG941719.1","Anaerococcus_hydrogenalis_DSM_7454_",44,36,"35",2069,"32094",0.017
"5433","EU935739","Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_",84,0,"0",1918,"23501",0
"5434","EU935740","Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_",86,0,"0",1918,"23501",0
"5435","EU935738","Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_",55,0,"0",1918,"23501",0
"5436","NZ_HG941719.1","Bifidobacterium_gallicum_DSM_20093_=_LMG_11596_",44,0,"0",1918,"23501",0
"5437","EU935739","Dickeya_zeae_Ech1591_",84,32,"30",4163,"57329",0.008
"5438","EU935740","Dickeya_zeae_Ech1591_",86,0,"0",4163,"57329",0
"5439","EU935738","Dickeya_zeae_Ech1591_",55,0,"0",4163,"57329",0
"5440","NZ_HG941719.1","Dickeya_zeae_Ech1591_",44,3,"2",4163,"57329",0.001
"5441","EU935739","Pectobacterium_carotovorum_subsp._carotovorum_PC1_",84,27,"25",4246,"56686",0.006
"5442","EU935740","Pectobacterium_carotovorum_subsp._carotovorum_PC1_",86,0,"0",4246,"56686",0
"5443","EU935738","Pectobacterium_carotovorum_subsp._carotovorum_PC1_",55,0,"0",4246,"56686",0
"5444","NZ_HG941719.1","Pectobacterium_carotovorum_subsp._carotovorum_PC1_",44,4,"3",4246,"56686",0.001
"5445","EU935739","Pectobacterium_wasabiae_WPP163_",84,25,"23",4441,"58606",0.006
"5446","EU935740","Pectobacterium_wasabiae_WPP163_",86,0,"0",4441,"58606",0
"5447","EU935738","Pectobacterium_wasabiae_WPP163_",55,0,"0",4441,"58606",0
"5448","NZ_HG941719.1","Pectobacterium_wasabiae_WPP163_",44,3,"2",4441,"58606",0.001
"5449","EU935739","Amphibacillus_jilinensis_Y1_",84,0,"0",3490,"61570",0
"5450","EU935740","Amphibacillus_jilinensis_Y1_",86,0,"0",3490,"61570",0
"5451","EU935738","Amphibacillus_jilinensis_Y1_",55,0,"0",3490,"61570",0
"5452","NZ_HG941719.1","Amphibacillus_jilinensis_Y1_",44,0,"0",3490,"61570",0
"5453","EU935739","Kyrpidia_tusciae_DSM_2912_",84,0,"0",3161,"42701",0
"5454","EU935740","Kyrpidia_tusciae_DSM_2912_",86,0,"0",3161,"42701",0
"5455","EU935738","Kyrpidia_tusciae_DSM_2912_",55,0,"0",3161,"42701",0
"5456","NZ_HG941719.1","Kyrpidia_tusciae_DSM_2912_",44,0,"0",3161,"42701",0
"5457","EU935739","Actinomyces_viscosus_C505_",84,0,"0",2587,"37125",0
"5458","EU935740","Actinomyces_viscosus_C505_",86,0,"0",2587,"37125",0
"5459","EU935738","Actinomyces_viscosus_C505_",55,0,"0",2587,"37125",0
"5460","NZ_HG941719.1","Actinomyces_viscosus_C505_",44,0,"0",2587,"37125",0
"5461","EU935739","Gemella_haemolysans_M341_",84,0,"0",1933,"31426",0
"5462","EU935740","Gemella_haemolysans_M341_",86,0,"0",1933,"31426",0
"5463","EU935738","Gemella_haemolysans_M341_",55,0,"0",1933,"31426",0
"5464","NZ_HG941719.1","Gemella_haemolysans_M341_",44,0,"0",1933,"31426",0
"5465","EU935739","Gemella_morbillorum_M424_",84,0,"0",1622,"29329",0
"5466","EU935740","Gemella_morbillorum_M424_",86,0,"0",1622,"29329",0
"5467","EU935738","Gemella_morbillorum_M424_",55,0,"0",1622,"29329",0
"5468","NZ_HG941719.1","Gemella_morbillorum_M424_",44,0,"0",1622,"29329",0
"5469","EU935739","Gemella_sanguinis_M325_",84,0,"0",1675,"27714",0
"5470","EU935740","Gemella_sanguinis_M325_",86,0,"0",1675,"27714",0
"5471","EU935738","Gemella_sanguinis_M325_",55,0,"0",1675,"27714",0
"5472","NZ_HG941719.1","Gemella_sanguinis_M325_",44,0,"0",1675,"27714",0
"5473","EU935739","Prevotella_oris_C735_",84,8,"7",2644,"36580",0.003
"5474","EU935740","Prevotella_oris_C735_",86,0,"0",2644,"36580",0
"5475","EU935738","Prevotella_oris_C735_",55,0,"0",2644,"36580",0
"5476","NZ_HG941719.1","Prevotella_oris_C735_",44,0,"0",2644,"36580",0
"5477","EU935739","Prevotella_sp._C561_",84,7,"6",3402,"37278",0.002
"5478","EU935740","Prevotella_sp._C561_",86,0,"0",3402,"37278",0
"5479","EU935738","Prevotella_sp._C561_",55,0,"0",3402,"37278",0
"5480","NZ_HG941719.1","Prevotella_sp._C561_",44,0,"0",3402,"37278",0
"5481","EU935739","Streptococcus_sp._M143_",84,12,"11",1802,"32510",0.006
"5482","EU935740","Streptococcus_sp._M143_",86,0,"0",1802,"32510",0
"5483","EU935738","Streptococcus_sp._M143_",55,0,"0",1802,"32510",0
"5484","NZ_HG941719.1","Streptococcus_sp._M143_",44,12,"11",1802,"32510",0.007
"5485","EU935739","Streptococcus_sp._M334_",84,8,"7",2082,"33003",0.004
"5486","EU935740","Streptococcus_sp._M334_",86,0,"0",2082,"33003",0
"5487","EU935738","Streptococcus_sp._M334_",55,0,"0",2082,"33003",0
"5488","NZ_HG941719.1","Streptococcus_sp._M334_",44,8,"7",2082,"33003",0.004
"5489","EU935739","Sulfurimonas_autotrophica_DSM_16294_",84,0,"0",2161,"33038",0
"5490","EU935740","Sulfurimonas_autotrophica_DSM_16294_",86,0,"0",2161,"33038",0
"5491","EU935738","Sulfurimonas_autotrophica_DSM_16294_",55,0,"0",2161,"33038",0
"5492","NZ_HG941719.1","Sulfurimonas_autotrophica_DSM_16294_",44,0,"0",2161,"33038",0
"5493","EU935739","Bilophila_wadsworthia_3_1_6_",84,0,"0",3786,"65403",0
"5494","EU935740","Bilophila_wadsworthia_3_1_6_",86,0,"0",3786,"65403",0
"5495","EU935738","Bilophila_wadsworthia_3_1_6_",55,0,"0",3786,"65403",0
"5496","NZ_HG941719.1","Bilophila_wadsworthia_3_1_6_",44,0,"0",3786,"65403",0
"5497","EU935739","Brachyspira_hyodysenteriae_WA1_",84,109,"108",2644,"37118",0.04
"5498","EU935740","Brachyspira_hyodysenteriae_WA1_",86,66,"65",2644,"37118",0.024
"5499","EU935738","Brachyspira_hyodysenteriae_WA1_",55,74,"72",2644,"37118",0.027
"5500","NZ_HG941719.1","Brachyspira_hyodysenteriae_WA1_",44,56,"54",2644,"37118",0.021
"5501","EU935739","Luminiphilus_syltensis_NOR5-1B_",84,75,"72",2931,"43483",0.025
"5502","EU935740","Luminiphilus_syltensis_NOR5-1B_",86,74,"72",2931,"43483",0.025
"5503","EU935738","Luminiphilus_syltensis_NOR5-1B_",55,57,"55",2931,"43483",0.019
"5504","NZ_HG941719.1","Luminiphilus_syltensis_NOR5-1B_",44,54,"53",2931,"43483",0.018
"5505","EU935739","Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_",84,52,"51",646,"10553",0.071
"5506","EU935740","Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_",86,52,"51",646,"10553",0.071
"5507","EU935738","Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_",55,52,"51",646,"10553",0.074
"5508","NZ_HG941719.1","Ureaplasma_urealyticum_serovar_10_str._ATCC_33699_",44,52,"51",646,"10553",0.075
"5509","EU935739","Enterococcus_gallinarum_EG2_",84,0,"0",3041,"61827",0
"5510","EU935740","Enterococcus_gallinarum_EG2_",86,0,"0",3041,"61827",0
"5511","EU935738","Enterococcus_gallinarum_EG2_",55,0,"0",3041,"61827",0
"5512","NZ_HG941719.1","Enterococcus_gallinarum_EG2_",44,0,"0",3041,"61827",0
"5513","EU935739","Enterococcus_casseliflavus_EC20_",84,0,"0",3116,"48084",0
"5514","EU935740","Enterococcus_casseliflavus_EC20_",86,0,"0",3116,"48084",0
"5515","EU935738","Enterococcus_casseliflavus_EC20_",55,0,"0",3116,"48084",0
"5516","NZ_HG941719.1","Enterococcus_casseliflavus_EC20_",44,0,"0",3116,"48084",0
"5517","EU935739","Enterococcus_faecium_C68_",84,0,"0",2850,"61059",0
"5518","EU935740","Enterococcus_faecium_C68_",86,0,"0",2850,"61059",0
"5519","EU935738","Enterococcus_faecium_C68_",55,0,"0",2850,"61059",0
"5520","NZ_HG941719.1","Enterococcus_faecium_C68_",44,0,"0",2850,"61059",0
"5521","EU935739","Streptomyces_ghanaensis_ATCC_14672_",84,0,"0",7905,"131200",0
"5522","EU935740","Streptomyces_ghanaensis_ATCC_14672_",86,0,"0",7905,"131200",0
"5523","EU935738","Streptomyces_ghanaensis_ATCC_14672_",55,0,"0",7905,"131200",0
"5524","NZ_HG941719.1","Streptomyces_ghanaensis_ATCC_14672_",44,0,"0",7905,"131200",0
"5525","EU935739","gamma_proteobacterium_NOR5-3_",84,48,"46",3674,"50477",0.013
"5526","EU935740","gamma_proteobacterium_NOR5-3_",86,9,"8",3674,"50477",0.002
"5527","EU935738","gamma_proteobacterium_NOR5-3_",55,29,"28",3674,"50477",0.008
"5528","NZ_HG941719.1","gamma_proteobacterium_NOR5-3_",44,0,"0",3674,"50477",0
"5529","EU935739","Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_",84,0,"0",1950,"18555",0
"5530","EU935740","Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_",86,0,"0",1950,"18555",0
"5531","EU935738","Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_",55,0,"0",1950,"18555",0
"5532","NZ_HG941719.1","Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043_",44,0,"0",1950,"18555",0
"5533","EU935739","Lactobacillus_rhamnosus_GG_",84,88,"113",2944,"39022",0.029
"5534","EU935740","Lactobacillus_rhamnosus_GG_",86,0,"0",2944,"39022",0
"5535","EU935738","Lactobacillus_rhamnosus_GG_",55,35,"34",2944,"39022",0.012
"5536","NZ_HG941719.1","Lactobacillus_rhamnosus_GG_",44,0,"0",2944,"39022",0
"5537","EU935739","Bordetella_pertussis_18323_",84,124,"138",3416,"47351",0.035
"5538","EU935740","Bordetella_pertussis_18323_",86,74,"73",3416,"47351",0.021
"5539","EU935738","Bordetella_pertussis_18323_",55,92,"96",3416,"47351",0.027
"5540","NZ_HG941719.1","Bordetella_pertussis_18323_",44,81,"79",3416,"47351",0.023
"5541","EU935739","Dickeya_sp._NCPPB_569_",84,0,"0",3557,"63278",0
"5542","EU935740","Dickeya_sp._NCPPB_569_",86,0,"0",3557,"63278",0
"5543","EU935738","Dickeya_sp._NCPPB_569_",55,0,"0",3557,"63278",0
"5544","NZ_HG941719.1","Dickeya_sp._NCPPB_569_",44,0,"0",3557,"63278",0
"5545","EU935739","Acidaminococcus_intestini_RyC-MR95_",84,0,"0",2408,"28632",0
"5546","EU935740","Acidaminococcus_intestini_RyC-MR95_",86,0,"0",2408,"28632",0
"5547","EU935738","Acidaminococcus_intestini_RyC-MR95_",55,0,"0",2408,"28632",0
"5548","NZ_HG941719.1","Acidaminococcus_intestini_RyC-MR95_",44,0,"0",2408,"28632",0
"5549","EU935739","Serratia_symbiotica_str._'Cinara_cedri'_",84,64,"64",672,"12188",0.085
"5550","EU935740","Serratia_symbiotica_str._'Cinara_cedri'_",86,33,"31",672,"12188",0.044
"5551","EU935738","Serratia_symbiotica_str._'Cinara_cedri'_",55,54,"55",672,"12188",0.074
"5552","NZ_HG941719.1","Serratia_symbiotica_str._'Cinara_cedri'_",44,40,"39",672,"12188",0.056
"5553","EU935739","Nocardiopsis_potens_DSM_45234_",84,0,"0",5840,"84769",0
"5554","EU935740","Nocardiopsis_potens_DSM_45234_",86,0,"0",5840,"84769",0
"5555","EU935738","Nocardiopsis_potens_DSM_45234_",55,0,"0",5840,"84769",0
"5556","NZ_HG941719.1","Nocardiopsis_potens_DSM_45234_",44,0,"0",5840,"84769",0
"5557","EU935739","Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_",84,43,"42",1327,"15712",0.03
"5558","EU935740","Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_",86,43,"42",1327,"15712",0.03
"5559","EU935738","Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_",55,43,"42",1327,"15712",0.031
"5560","NZ_HG941719.1","Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_",44,43,"42",1327,"15712",0.031
"5561","EU935739","Fodinicurvata_sediminis_DSM_21159_",84,0,"0",3363,"66400",0
"5562","EU935740","Fodinicurvata_sediminis_DSM_21159_",86,0,"0",3363,"66400",0
"5563","EU935738","Fodinicurvata_sediminis_DSM_21159_",55,0,"0",3363,"66400",0
"5564","NZ_HG941719.1","Fodinicurvata_sediminis_DSM_21159_",44,0,"0",3363,"66400",0
"5565","EU935739","Fodinicurvata_fenggangensis_DSM_21160_",84,0,"0",3447,"61645",0
"5566","EU935740","Fodinicurvata_fenggangensis_DSM_21160_",86,0,"0",3447,"61645",0
"5567","EU935738","Fodinicurvata_fenggangensis_DSM_21160_",55,0,"0",3447,"61645",0
"5568","NZ_HG941719.1","Fodinicurvata_fenggangensis_DSM_21160_",44,0,"0",3447,"61645",0
"5569","EU935739","Sedimentitalea_nanhaiensis_DSM_24252_",84,0,"0",4410,"96454",0
"5570","EU935740","Sedimentitalea_nanhaiensis_DSM_24252_",86,0,"0",4410,"96454",0
"5571","EU935738","Sedimentitalea_nanhaiensis_DSM_24252_",55,0,"0",4410,"96454",0
"5572","NZ_HG941719.1","Sedimentitalea_nanhaiensis_DSM_24252_",44,0,"0",4410,"96454",0
"5573","EU935739","Candidatus_Hamiltonella_defensa_5AT_",84,138,"221",2185,"23667",0.061
"5574","EU935740","Candidatus_Hamiltonella_defensa_5AT_",86,120,"401",2185,"23667",0.053
"5575","EU935738","Candidatus_Hamiltonella_defensa_5AT_",55,123,"173",2185,"23667",0.055
"5576","NZ_HG941719.1","Candidatus_Hamiltonella_defensa_5AT_",44,123,"217",2185,"23667",0.055
"5577","EU935739","Allochromatium_vinosum_DSM_180_",84,0,"0",3105,"59733",0
"5578","EU935740","Allochromatium_vinosum_DSM_180_",86,0,"0",3105,"59733",0
"5579","EU935738","Allochromatium_vinosum_DSM_180_",55,0,"0",3105,"59733",0
"5580","NZ_HG941719.1","Allochromatium_vinosum_DSM_180_",44,0,"0",3105,"59733",0
"5581","EU935739","Halanaerobium_praevalens_DSM_2228_",84,0,"0",2077,"31109",0
"5582","EU935740","Halanaerobium_praevalens_DSM_2228_",86,0,"0",2077,"31109",0
"5583","EU935738","Halanaerobium_praevalens_DSM_2228_",55,0,"0",2077,"31109",0
"5584","NZ_HG941719.1","Halanaerobium_praevalens_DSM_2228_",44,0,"0",2077,"31109",0
"5585","EU935739","Arcobacter_nitrofigilis_DSM_7299_",84,0,"0",3127,"46777",0
"5586","EU935740","Arcobacter_nitrofigilis_DSM_7299_",86,0,"0",3127,"46777",0
"5587","EU935738","Arcobacter_nitrofigilis_DSM_7299_",55,0,"0",3127,"46777",0
"5588","NZ_HG941719.1","Arcobacter_nitrofigilis_DSM_7299_",44,0,"0",3127,"46777",0
"5589","EU935739","Ilyobacter_polytropus_DSM_2926_",84,8,"7",2007,"20816",0.004
"5590","EU935740","Ilyobacter_polytropus_DSM_2926_",86,0,"0",2007,"20816",0
"5591","EU935738","Ilyobacter_polytropus_DSM_2926_",55,0,"0",2007,"20816",0
"5592","NZ_HG941719.1","Ilyobacter_polytropus_DSM_2926_",44,8,"7",2007,"20816",0.004
"5593","EU935739","Aminobacterium_colombiense_DSM_12261_",84,0,"0",1880,"25913",0
"5594","EU935740","Aminobacterium_colombiense_DSM_12261_",86,0,"0",1880,"25913",0
"5595","EU935738","Aminobacterium_colombiense_DSM_12261_",55,0,"0",1880,"25913",0
"5596","NZ_HG941719.1","Aminobacterium_colombiense_DSM_12261_",44,0,"0",1880,"25913",0
"5597","EU935739","Clostridium_cellulovorans_743B_",84,0,"0",4254,"59281",0
"5598","EU935740","Clostridium_cellulovorans_743B_",86,0,"0",4254,"59281",0
"5599","EU935738","Clostridium_cellulovorans_743B_",55,0,"0",4254,"59281",0
"5600","NZ_HG941719.1","Clostridium_cellulovorans_743B_",44,0,"0",4254,"59281",0
"5601","EU935739","Asticcacaulis_excentricus_CB_48_",84,0,"0",3641,"48035",0
"5602","EU935740","Asticcacaulis_excentricus_CB_48_",86,0,"0",3641,"48035",0
"5603","EU935738","Asticcacaulis_excentricus_CB_48_",55,0,"0",3641,"48035",0
"5604","NZ_HG941719.1","Asticcacaulis_excentricus_CB_48_",44,0,"0",3641,"48035",0
"5605","EU935739","Desulfovibrio_magneticus_RS-1_",84,49,"48",4708,"95650",0.01
"5606","EU935740","Desulfovibrio_magneticus_RS-1_",86,50,"55",4708,"95650",0.01
"5607","EU935738","Desulfovibrio_magneticus_RS-1_",55,42,"42",4708,"95650",0.009
"5608","NZ_HG941719.1","Desulfovibrio_magneticus_RS-1_",44,26,"23",4708,"95650",0.005
"5609","EU935739","Spirochaeta_smaragdinae_DSM_11293_",84,0,"0",4226,"78122",0
"5610","EU935740","Spirochaeta_smaragdinae_DSM_11293_",86,0,"0",4226,"78122",0
"5611","EU935738","Spirochaeta_smaragdinae_DSM_11293_",55,0,"0",4226,"78122",0
"5612","NZ_HG941719.1","Spirochaeta_smaragdinae_DSM_11293_",44,0,"0",4226,"78122",0
"5613","EU935739","Francisella_sp._TX077308_",84,0,"0",1977,"23987",0
"5614","EU935740","Francisella_sp._TX077308_",86,0,"0",1977,"23987",0
"5615","EU935738","Francisella_sp._TX077308_",55,0,"0",1977,"23987",0
"5616","NZ_HG941719.1","Francisella_sp._TX077308_",44,0,"0",1977,"23987",0
"5617","EU935739","Acetohalobium_arabaticum_DSM_5501_",84,0,"0",2285,"34343",0
"5618","EU935740","Acetohalobium_arabaticum_DSM_5501_",86,0,"0",2285,"34343",0
"5619","EU935738","Acetohalobium_arabaticum_DSM_5501_",55,0,"0",2285,"34343",0
"5620","NZ_HG941719.1","Acetohalobium_arabaticum_DSM_5501_",44,0,"0",2285,"34343",0
"5621","EU935739","Bacillus_gaemokensis_",84,39,"38",5096,"69867",0.008
"5622","EU935740","Bacillus_gaemokensis_",86,0,"0",5096,"69867",0
"5623","EU935738","Bacillus_gaemokensis_",55,0,"0",5096,"69867",0
"5624","NZ_HG941719.1","Bacillus_gaemokensis_",44,0,"0",5096,"69867",0
"5625","EU935739","Bacillus_manliponensis_",84,36,"35",4376,"63567",0.008
"5626","EU935740","Bacillus_manliponensis_",86,0,"0",4376,"63567",0
"5627","EU935738","Bacillus_manliponensis_",55,0,"0",4376,"63567",0
"5628","NZ_HG941719.1","Bacillus_manliponensis_",44,0,"0",4376,"63567",0
"5629","EU935739","Anaplasma_centrale_str._Israel_",84,82,"82",928,"12484",0.081
"5630","EU935740","Anaplasma_centrale_str._Israel_",86,33,"32",928,"12484",0.033
"5631","EU935738","Anaplasma_centrale_str._Israel_",55,48,"50",928,"12484",0.049
"5632","NZ_HG941719.1","Anaplasma_centrale_str._Israel_",44,48,"46",928,"12484",0.049
"5633","EU935739","Halomonas_zhanjiangensis_DSM_21076_",84,0,"0",3583,"59385",0
"5634","EU935740","Halomonas_zhanjiangensis_DSM_21076_",86,0,"0",3583,"59385",0
"5635","EU935738","Halomonas_zhanjiangensis_DSM_21076_",55,0,"0",3583,"59385",0
"5636","NZ_HG941719.1","Halomonas_zhanjiangensis_DSM_21076_",44,0,"0",3583,"59385",0
"5637","EU935739","Isosphaera_pallida_ATCC_43644_",84,0,"0",3723,"49679",0
"5638","EU935740","Isosphaera_pallida_ATCC_43644_",86,0,"0",3723,"49679",0
"5639","EU935738","Isosphaera_pallida_ATCC_43644_",55,0,"0",3723,"49679",0
"5640","NZ_HG941719.1","Isosphaera_pallida_ATCC_43644_",44,0,"0",3723,"49679",0
"5641","EU935739","Acinetobacter_sp._RUH2624_",84,0,"0",3693,"39656",0
"5642","EU935740","Acinetobacter_sp._RUH2624_",86,0,"0",3693,"39656",0
"5643","EU935738","Acinetobacter_sp._RUH2624_",55,0,"0",3693,"39656",0
"5644","NZ_HG941719.1","Acinetobacter_sp._RUH2624_",44,0,"0",3693,"39656",0
"5645","EU935739","Acinetobacter_johnsonii_SH046_",84,24,"61",3363,"40693",0.007
"5646","EU935740","Acinetobacter_johnsonii_SH046_",86,88,"179",3363,"40693",0.026
"5647","EU935738","Acinetobacter_johnsonii_SH046_",55,20,"38",3363,"40693",0.006
"5648","NZ_HG941719.1","Acinetobacter_johnsonii_SH046_",44,25,"84",3363,"40693",0.007
"5649","EU935739","Acinetobacter_lwoffii_SH145_",84,13,"12",3029,"37875",0.004
"5650","EU935740","Acinetobacter_lwoffii_SH145_",86,76,"87",3029,"37875",0.024
"5651","EU935738","Acinetobacter_lwoffii_SH145_",55,0,"0",3029,"37875",0
"5652","NZ_HG941719.1","Acinetobacter_lwoffii_SH145_",44,13,"22",3029,"37875",0.004
"5653","EU935739","Acinetobacter_radioresistens_SH164_",84,0,"0",2874,"38905",0
"5654","EU935740","Acinetobacter_radioresistens_SH164_",86,76,"93",2874,"38905",0.026
"5655","EU935738","Acinetobacter_radioresistens_SH164_",55,0,"0",2874,"38905",0
"5656","NZ_HG941719.1","Acinetobacter_radioresistens_SH164_",44,0,"0",2874,"38905",0
"5657","EU935739","Bacteroidetes_oral_taxon_274_str._F0058_",84,0,"0",1856,"25190",0
"5658","EU935740","Bacteroidetes_oral_taxon_274_str._F0058_",86,0,"0",1856,"25190",0
"5659","EU935738","Bacteroidetes_oral_taxon_274_str._F0058_",55,0,"0",1856,"25190",0
"5660","NZ_HG941719.1","Bacteroidetes_oral_taxon_274_str._F0058_",44,0,"0",1856,"25190",0
"5661","EU935739","Lachnospiraceae_oral_taxon_107_str._F0167_",84,0,"0",3094,"44747",0
"5662","EU935740","Lachnospiraceae_oral_taxon_107_str._F0167_",86,0,"0",3094,"44747",0
"5663","EU935738","Lachnospiraceae_oral_taxon_107_str._F0167_",55,0,"0",3094,"44747",0
"5664","NZ_HG941719.1","Lachnospiraceae_oral_taxon_107_str._F0167_",44,0,"0",3094,"44747",0
"5665","EU935739","Lactobacillus_coleohominis_101-4-CHN_",84,0,"0",1714,"27368",0
"5666","EU935740","Lactobacillus_coleohominis_101-4-CHN_",86,0,"0",1714,"27368",0
"5667","EU935738","Lactobacillus_coleohominis_101-4-CHN_",55,0,"0",1714,"27368",0
"5668","NZ_HG941719.1","Lactobacillus_coleohominis_101-4-CHN_",44,0,"0",1714,"27368",0
"5669","EU935739","Lactobacillus_jensenii_115-3-CHN_",84,0,"0",1509,"20201",0
"5670","EU935740","Lactobacillus_jensenii_115-3-CHN_",86,0,"0",1509,"20201",0
"5671","EU935738","Lactobacillus_jensenii_115-3-CHN_",55,0,"0",1509,"20201",0
"5672","NZ_HG941719.1","Lactobacillus_jensenii_115-3-CHN_",44,0,"0",1509,"20201",0
"5673","EU935739","Lactobacillus_jensenii_27-2-CHN_",84,0,"0",1506,"28773",0
"5674","EU935740","Lactobacillus_jensenii_27-2-CHN_",86,0,"0",1506,"28773",0
"5675","EU935738","Lactobacillus_jensenii_27-2-CHN_",55,0,"0",1506,"28773",0
