"","Chrom","JN626286.1","LN864819.1","NZ_KX523901.1"
"482","marine_gamma_proteobacterium_HTCC2143_","26","26","0"
"483","marine_gamma_proteobacterium_HTCC2148_","30","30","0"
"484","marine_gamma_proteobacterium_HTCC2080_","0","0","0"
"485","Gloeobacter_violaceus_PCC_7421_","Gloeobacter_violaceus_PCC_7421_","Gloeobacter_violaceus_PCC_7421_","Gloeobacter_violaceus_PCC_7421_"
"486","Chroococcidiopsis_thermalis_PCC_7203_","21","21","0"
"487","Oceanicola_batsensis_HTCC2597_","22","22","0"
"488","Streptomyces_sp._C_","0","0","0"
"489","Ehrlichia_ruminantium_str._Welgevonden_","58","58","35"
"490","Dehalococcoides_mccartyi_CBDB1_","68","68","51"
"491","Bordetella_bronchiseptica_RB50_","192","192","76"
"492","Bordetella_pertussis_Tohama_I_","138","138","57"
"493","Lactobacillus_johnsonii_NCC_533_","0","0","0"
"494","Rickettsia_typhi_str._Wilmington_","75","75","42"
"495","Kitasatospora_arboriphila_","0","0","0"
"496","Mycobacterium_cosmeticum_","55","55","0"
"497","Rhodopseudomonas_palustris_CGA009_","150","150","77"
"498","Psychrobacter_arcticus_273-4_","70","65","41"
"499","Bacillus_anthracis_str._Sterne_","108","108","78"
"500","Nitrosomonas_sp._Is79A3_","0","0","0"
"501","Buchnera_aphidicola_","42","42","42"
"502","Mycobacterium_avium_subsp._paratuberculosis_K-10_","134","121","60"
"503","Exiguobacterium_sibiricum_255-15_","0","0","0"
"504","Mycoplasma_hyopneumoniae_J_","58","58","58"
"505","Mycoplasma_synoviae_53_","41","41","41"
"506","Thermus_thermophilus_HB27_","15","15","0"
"507","Onion_yellows_phytoplasma_OY-M_","0","0","0"
"508","Verrucosispora_maris_AB-18-032_","0","0","0"
"509","Ralstonia_eutropha_JMP134_","59","65","0"
"510","Streptococcus_thermophilus_LMG_18311_","0","0","0"
"511","Candidatus_Protochlamydia_amoebophila_UWE25_","91","96","72"
"512","Chlamydophila_felis_Fe-C-56_","59","59","39"
"513","Zymomonas_mobilis_subsp._mobilis_ZM4_=_ATCC_31821_","0","0","0"
"514","Bdellovibrio_bacteriovorus_HD100_","118","149","81"
"515","Pseudomonas_syringae_pv._phaseolicola_1448A_","185","185","0"
"516","Prevotella_ruminicola_23_","25","25","25"
"517","Moorella_thermoacetica_ATCC_39073_","31","31","0"
"518","Methylobacillus_flagellatus_KT_","23","23","0"
"519","Mesoplasma_florum_L1_","0","0","0"
"520","Bacillus_cibi_","0","0","0"
"521","Rubrobacter_xylanophilus_DSM_9941_","0","47","0"
"522","Cupriavidus_metallidurans_CH34_","73","105","0"
"523","Burkholderia_xenovorans_LB400_","40","95","0"
"524","Chryseobacterium_antarcticum_","0","0","0"
"525","Porphyromonas_gingivicanis_","0","0","0"
"526","Chelativorans_sp._BNC1_","26","26","0"
"527","Thalassobacter_stenotrophicus_","35","156","0"
"528","Sinorhizobium_meliloti_1021_","119","119","61"
"529","Mesorhizobium_loti_MAFF303099_","Mesorhizobium_loti_MAFF303099_","Mesorhizobium_loti_MAFF303099_","Mesorhizobium_loti_MAFF303099_"
"530","Kineococcus_radiotolerans_SRS30216_=_ATCC_BAA-149_","0","0","0"
"531","Ralstonia_solanacearum_GMI1000_","249","249","73"
"532","Propionibacterium_acnes_KPA171202_","0","0","0"
"533","Mycoplasma_mobile_163K_","81","81","51"
"534","Paenibacillus_wynnii_","30","30","0"
"535","Synechococcus_elongatus_PCC_6301_","43","52","64"
"536","Burkholderia_vietnamiensis_G4_","31","31","0"
"537","Ehrlichia_canis_str._Jake_","0","0","0"
"538","Rhodospirillum_rubrum_ATCC_11170_","30","30","0"
"539","Cytophaga_hutchinsonii_ATCC_33406_","66","74","49"
"540","Geobacter_metallireducens_GS-15_","135","135","88"
"541","Thermobifida_fusca_YX_","0","0","0"
"542","Marinobacter_sp._ELB17_","19","52","0"
"543","Anabaena_cylindrica_PCC_7122_","20","20","0"
"544","Leptolyngbya_boryana_PCC_6306_","0","0","0"
"545","Aggregatibacter_actinomycetemcomitans_HK1651_","23","23","0"
"546","Bacillus_halodurans_C-125_","Bacillus_halodurans_C-125_","Bacillus_halodurans_C-125_","Bacillus_halodurans_C-125_"
"547","Bacteroides_fragilis_NCTC_9343_","151","157","101"
"548","Burkholderia_pseudomallei_K96243_","105","113","74"
"549","Clostridium_acetobutylicum_ATCC_824_","68","68","0"
"550","Peptoclostridium_difficile_630_","83","83","43"
"551","Gluconacetobacter_diazotrophicus_PA1_5_","121","184","54"
"552","Lactobacillus_acidophilus_NCFM_","30","30","3"
"553","Lactococcus_lactis_subsp._lactis_Il1403_","25","25","34"
"554","Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1_","59","83","59"
"555","Listeria_innocua_Clip11262_","66","66","14"
"556","Methylobacterium_extorquens_AM1_","116","186","62"
