"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions","Jaccard"
"68","MT441554.1","Chlamydia_trachomatis_","18","44","44","930","13232",NA
"69","JN626286.1","Campylobacter_ureolyticus_","37","82","115","1697","20108",NA
"70","LN864819.1","Campylobacter_ureolyticus_","57","82","115","1697","20108",NA
"71","NZ_KX523901.1","Campylobacter_ureolyticus_","12","24","23","1697","20108",NA
"72","MT441554.1","Campylobacter_ureolyticus_","18","24","23","1697","20108",NA
"73","JN626286.1","Desulfovibrio_vulgaris_str._Hildenborough_","37","112","111","3388","57795",NA
"74","LN864819.1","Desulfovibrio_vulgaris_str._Hildenborough_","57","118","118","3388","57795",NA
"75","NZ_KX523901.1","Desulfovibrio_vulgaris_str._Hildenborough_","12","122","140","3388","57795",NA
"76","MT441554.1","Desulfovibrio_vulgaris_str._Hildenborough_","18","122","140","3388","57795",NA
"77","JN626286.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","37","28","27","3182","51083",NA
"78","LN864819.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","57","28","27","3182","51083",NA
"79","NZ_KX523901.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","12","0","0","3182","51083",NA
"80","MT441554.1","Desulfovibrio_vulgaris_str._'Miyazaki_F'_","18","0","0","3182","51083",NA
"81","JN626286.1","Flavobacterium_hydatis_","37","21","20","4666","71026",NA
"82","LN864819.1","Flavobacterium_hydatis_","57","21","20","4666","71026",NA
"83","NZ_KX523901.1","Flavobacterium_hydatis_","12","0","0","4666","71026",NA
"84","MT441554.1","Flavobacterium_hydatis_","18","0","0","4666","71026",NA
"85","JN626286.1","Erythrobacter_longus_","37","16","15","3219","44004",NA
"86","LN864819.1","Erythrobacter_longus_","57","16","15","3219","44004",NA
"87","NZ_KX523901.1","Erythrobacter_longus_","12","0","0","3219","44004",NA
"88","MT441554.1","Erythrobacter_longus_","18","0","0","3219","44004",NA
"89","JN626286.1","Synechococcus_elongatus_PCC_7942_","37","33","38","2661","51188",NA
"90","LN864819.1","Synechococcus_elongatus_PCC_7942_","57","33","38","2661","51188",NA
"91","NZ_KX523901.1","Synechococcus_elongatus_PCC_7942_","12","0","0","2661","51188",NA
"92","MT441554.1","Synechococcus_elongatus_PCC_7942_","18","0","0","2661","51188",NA
"93","JN626286.1","Synechocystis_sp._PCC_6714_","37","36","34","3568","43596",NA
"94","LN864819.1","Synechocystis_sp._PCC_6714_","57","59","57","3568","43596",NA
"95","NZ_KX523901.1","Synechocystis_sp._PCC_6714_","12","32","31","3568","43596",NA
"96","MT441554.1","Synechocystis_sp._PCC_6714_","18","36","34","3568","43596",NA
"97","JN626286.1","Leuconostoc_lactis_","37","0","0","1607","23444",NA
"98","LN864819.1","Leuconostoc_lactis_","57","0","0","1607","23444",NA
"99","NZ_KX523901.1","Leuconostoc_lactis_","12","0","0","1607","23444",NA
"100","MT441554.1","Leuconostoc_lactis_","18","26","25","1607","23444",NA
"101","JN626286.1","Dermacoccus_nishinomiyaensis_","37","0","0","2296","27481",NA
"102","LN864819.1","Dermacoccus_nishinomiyaensis_","57","0","0","2296","27481",NA
"103","NZ_KX523901.1","Dermacoccus_nishinomiyaensis_","12","0","0","2296","27481",NA
"104","MT441554.1","Dermacoccus_nishinomiyaensis_","18","0","0","2296","27481",NA
"105","JN626286.1","Staphylococcus_aureus_","37","106","119","2992","39969",NA
"106","LN864819.1","Staphylococcus_aureus_","57","129","145","2992","39969",NA
"107","NZ_KX523901.1","Staphylococcus_aureus_","12","84","82","2992","39969",NA
"108","MT441554.1","Staphylococcus_aureus_","18","54","53","2992","39969",NA
"109","JN626286.1","Staphylococcus_xylosus_","37","21","20","2512","36909",NA
"110","LN864819.1","Staphylococcus_xylosus_","57","21","20","2512","36909",NA
"111","NZ_KX523901.1","Staphylococcus_xylosus_","12","0","0","2512","36909",NA
"112","MT441554.1","Staphylococcus_xylosus_","18","19","18","2512","36909",NA
"113","JN626286.1","Streptococcus_pyogenes_","37","51","50","1846","28215",NA
"114","LN864819.1","Streptococcus_pyogenes_","57","51","50","1846","28215",NA
"115","NZ_KX523901.1","Streptococcus_pyogenes_","12","51","50","1846","28215",NA
"116","MT441554.1","Streptococcus_pyogenes_","18","51","50","1846","28215",NA
"117","JN626286.1","Streptococcus_iniae_","37","0","0","1872","21996",NA
"118","LN864819.1","Streptococcus_iniae_","57","0","0","1872","21996",NA
"119","NZ_KX523901.1","Streptococcus_iniae_","12","0","0","1872","21996",NA
"120","MT441554.1","Streptococcus_iniae_","18","0","0","1872","21996",NA
"121","JN626286.1","Bacillus_cereus_","37","45","71","5754","73238",NA
"122","LN864819.1","Bacillus_cereus_","57","45","71","5754","73238",NA
"123","NZ_KX523901.1","Bacillus_cereus_","12","0","0","5754","73238",NA
"124","MT441554.1","Bacillus_cereus_","18","0","0","5754","73238",NA
"125","JN626286.1","Bacillus_mycoides_","37","29","28","5190","53688",NA
"126","LN864819.1","Bacillus_mycoides_","57","29","28","5190","53688",NA
"127","NZ_KX523901.1","Bacillus_mycoides_","12","0","0","5190","53688",NA
"128","MT441554.1","Bacillus_mycoides_","18","0","0","5190","53688",NA
"129","JN626286.1","Clostridium_sp._ATCC_29733_","37","0","0","3692","40909",NA
"130","LN864819.1","Clostridium_sp._ATCC_29733_","57","0","0","3692","40909",NA
"131","NZ_KX523901.1","Clostridium_sp._ATCC_29733_","12","0","0","3692","40909",NA
"132","MT441554.1","Clostridium_sp._ATCC_29733_","18","0","0","3692","40909",NA
"133","JN626286.1","[Clostridium]_sticklandii_","37","57","56","2573","34714",NA
"134","LN864819.1","[Clostridium]_sticklandii_","57","57","56","2573","34714",NA
"135","NZ_KX523901.1","[Clostridium]_sticklandii_","12","0","0","2573","34714",NA
"136","MT441554.1","[Clostridium]_sticklandii_","18","10","9","2573","34714",NA
"137","JN626286.1","Lactobacillus_animalis_","37","0","0","1844","33085",NA
"138","LN864819.1","Lactobacillus_animalis_","57","0","0","1844","33085",NA
